category,total,pass_real,pass_partial,blocked_unsupported,fail_builder,fail_runtime,fail_quality,fail_fake
add-auth-payments-email-db-edit,20,0,0,20,0,0,0,0
admin-internal-ops,25,0,0,25,0,0,0,0
ai-writing-tool,25,0,0,25,0,0,0,0
analytics-reporting-app,10,0,0,10,0,0,0,0
api-integration-app,10,0,0,10,0,0,0,0
auth-heavy-app,10,0,0,10,0,0,0,0
booking-scheduling-app,38,0,0,38,0,0,0,0
chat-collab-app,10,0,0,10,0,0,0,0
contradictory-prompt,10,0,0,10,0,0,0,0
course-lms,25,0,0,25,0,0,0,0
crm,28,0,0,28,0,0,0,0
dirty-repo-repair-build-prompts,20,0,0,20,0,0,0,0
ecommerce-storefront,38,0,0,38,0,0,0,0
events-community,25,0,0,25,0,0,0,0
failure-recovery-prompts,20,0,0,20,0,0,0,0
file-upload-heavy-app,10,0,0,10,0,0,0,0
finance-budgeting,25,0,0,25,0,0,0,0
fitness-wellness,25,0,0,25,0,0,0,0
follow-up-edits-after-first-build,20,0,0,20,0,0,0,0
healthcare-intake-non-medical,25,0,0,25,0,0,0,0
huge-build-me-airbnb-uber-shopify,10,0,0,10,0,0,0,0
inventory-logistics,25,0,0,25,0,0,0,0
job-board,10,0,0,10,0,0,0,0
legal-intake-non-legal-advice,25,0,0,25,0,0,0,0
local-service-site,38,0,0,38,0,0,0,0
make-it-prettier-design-edit,20,0,0,20,0,0,0,0
marketplace,28,0,0,28,0,0,0,0
messy-typo-filled-prompt,10,0,0,10,0,0,0,0
mobile-first-app,10,0,0,10,0,0,0,0
multi-tenant-app,10,0,0,10,0,0,0,0
one-page-landing-page,38,0,0,38,0,0,0,0
payment-subscription-app,10,0,0,10,0,0,0,0
project-management,26,0,0,26,0,0,0,0
real-estate-listings,25,0,0,25,0,0,0,0
restaurant-order-app,38,0,0,38,0,0,0,0
role-based-app,10,0,0,10,0,0,0,0
saas-dashboard,28,0,0,28,0,0,0,0
social-community-app,10,0,0,10,0,0,0,0
support-ticketing,25,0,0,25,0,0,0,0
weird-vague-app,10,0,0,10,0,0,0,0
